Name,Strain,Tree_Groups,Lake,Reps.Per.Lake,,Rough.Region,County,N,W,TP,TrophicStaus,ToxinGene,ToxinGene.Simple,SRP,Chl-a,Secchi,Year,Date
BK11_02,BK11-02,pseudo-oligotrophic,Baker,N,(BK),-86,Barry,42.64643,-85.50279,28,mesotrophic,Full,Full,4.6,33.7,1.5,Year1,8/8/2011
BS11_05,BS11-05,pseudo-oligotrophic,Baseline,Y,(BS),-86,Allegan,42.42421,-85.85677,36.1,eutrophic,Full,Full,3.6,47.1,1,Year1,8/8/2011
BS13_02,BS13-02,nutrient-rich,Baseline,Y,(BS),-86,Allegan,42.42421,-85.85677,36.1,eutrophic,None,None.Partial,3.6,47.1,1,Year2,8/9/2013
BS13_10,BS13-10,pseudo-oligotrophic,Baseline,Y,(BS),-86,Allegan,42.42421,-85.85677,36.1,eutrophic,Full,Full,3.6,47.1,1,Year2,8/9/2013
F11_05,F11-05,nutrient-rich,Ford,Y,(F),-84,Washtenaw,42.20619,-83.5666,65,eutrophic,Unkown,Unkown,10.2,56.2,0.9,,?
F13_03,F13-03,nutrient-rich,Ford,Y,(F),-84,Washtenaw,42.20619,-83.5666,65,eutrophic,Unkown,Unkown,10.2,56.2,0.9,,?
F13_15,F13-15,nutrient-rich,Ford,Y,(F),-84,Washtenaw,42.20619,-83.5666,65,eutrophic,Full,Full,10.2,56.2,0.9,Year2,8/15/2013
G11_01,G11-01,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year1,7/5/2011
G11_04,G11-04,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year1,7/5/2011
G11_06,G11-06,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year1,7/5/2011
G11_09,G11-09,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year1,7/5/2011
G13_01,G13-01,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year2,8/8/2013
G13_03,G13-03,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year2,8/8/2013
G13_05,G13-05,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year2,8/8/2013
G13_07,G13-07,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year2,8/8/2013
G13_09,G13-09,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year2,8/8/2013
G13_10,G13-10,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year2,8/8/2013
G13_11,G13-11,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year2,8/8/2013
G13_12,G13-12,oligotrophic,Gull,Y,(G),-85,Kalamazoo,42.39651,-85.40936,7.9,oligotrophic,Full,Full,1.3,3.7,4.5,Year2,8/8/2013
K13_01,K13-01,nutrient-rich,Kent,Y,(K),-84,Oakland,42.52346,-83.666,23.6,mesotrophic,Unkown,Unkown,3.3,23.1,2.2,,?
K13_05,K13-05,nutrient-rich,Kent,Y,(K),-84,Oakland,42.52346,-83.666,23.6,mesotrophic,Partial,None.Partial,3.3,23.1,2.2,Year2,8/15/2013
K13_06,K13-06,nutrient-rich,Kent,Y,(K),-84,Oakland,42.52346,-83.666,23.6,mesotrophic,Full,Full,3.3,23.1,2.2,Year2,8/15/2013
K13_07,K13-07,pseudo-oligotrophic,Kent,Y,(K),-84,Oakland,42.52346,-83.666,23.6,mesotrophic,Full,Full,3.3,23.1,2.2,Year2,8/15/2013
K13_10,K13-10,nutrient-rich,Kent,Y,(K),-84,Oakland,42.52346,-83.666,23.6,mesotrophic,Partial,None.Partial,3.3,23.1,2.2,Year2,8/15/2013
