Name,Strain,Tree_Groups,Lake,Reps.Per.Lake,County,N,W,TrophicStaus
BK11_02,BK11-02,pseudo-oligotrophic,Baker,N,Barry,42.64643,-85.50279,mesotrophic
BS11_05,BS11-05,pseudo-oligotrophic,Baseline,Y,Allegan,42.42421,-85.85677,eutrophic
BS13_02,BS13-02,nutrient-rich,Baseline,Y,Allegan,42.42421,-85.85677,eutrophic
BS13_10,BS13-10,pseudo-oligotrophic,Baseline,Y,Allegan,42.42421,-85.85677,eutrophic
F11_05,F11-05,nutrient-rich,Ford,Y,Washtenaw,42.20619,-83.5666,eutrophic
F13_03,F13-03,nutrient-rich,Ford,Y,Washtenaw,42.20619,-83.5666,eutrophic
F13_15,F13-15,nutrient-rich,Ford,Y,Washtenaw,42.20619,-83.5666,eutrophic
G11_01,G11-01,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G11_04,G11-04,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G11_06,G11-06,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G11_09,G11-09,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G13_01,G13-01,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G13_03,G13-03,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G13_05,G13-05,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G13_07,G13-07,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G13_09,G13-09,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G13_10,G13-10,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G13_11,G13-11,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
G13_12,G13-12,oligotrophic,Gull,Y,Kalamazoo,42.39651,-85.40936,oligotrophic
K13_01,K13-01,nutrient-rich,Kent,Y,Oakland,42.52346,-83.666,mesotrophic
K13_05,K13-05,nutrient-rich,Kent,Y,Oakland,42.52346,-83.666,mesotrophic
K13_06,K13-06,nutrient-rich,Kent,Y,Oakland,42.52346,-83.666,mesotrophic
K13_07,K13-07,pseudo-oligotrophic,Kent,Y,Oakland,42.52346,-83.666,mesotrophic
K13_10,K13-10,nutrient-rich,Kent,Y,Oakland,42.52346,-83.666,mesotrophic
L111_01,L111-01,pseudo-oligotrophic,MSU1,N,Ingham,42.68059,-84.4831,eutrophic
L211_07,L211-07,nutrient-rich,MSU2,Y,Ingham,42.68079,-84.4871,eutrophic
L211_101,L211-101,nutrient-rich,MSU2,Y,Ingham,42.68079,-84.4871,eutrophic
L211_11,L211-11,nutrient-rich,MSU2,Y,Ingham,42.68079,-84.4871,eutrophic
L311_01,L311-01,nutrient-rich,MSU3,N,Ingham,42.67928,-84.4849,eutrophic
LE13_04,LE13-04,oligotrophic,Lee,N,Calhoun,42.17991,-85.11844,oligotrophic
LG11_05,LG11-05,nutrient-rich,Lansing,Y,Ingham,42.76324,-84.405,mesotrophic
LG13_02,LG13-02,nutrient-rich,Lansing,Y,Ingham,42.76324,-84.405,mesotrophic
LG13_03,LG13-03,nutrient-rich,Lansing,Y,Ingham,42.76324,-84.405,mesotrophic
LG13_11,LG13-11,nutrient-rich,Lansing,Y,Ingham,42.76324,-84.405,mesotrophic
LG13_12,LG13-12,nutrient-rich,Lansing,Y,Ingham,42.76324,-84.405,mesotrophic
LG13_13,LG13-13,nutrient-rich,Lansing,Y,Ingham,42.76324,-84.405,mesotrophic
LL11_07,LL11-07,oligotrophic,Little Long,Y,Barry,42.41803,-85.44348,oligotrophic
LL13_03,LL13-03,oligotrophic,Little Long,Y,Barry,42.41803,-85.44348,oligotrophic
LL13_06,LL13-06,oligotrophic,Little Long,Y,Barry,42.41803,-85.44348,oligotrophic
S11_01,S11-01,pseudo-oligotrophic,Sherman,Y,Kalamazoo,42.35212,-85.38545,mesotrophic
S11_05,S11-05,pseudo-oligotrophic,Sherman,Y,Kalamazoo,42.35212,-85.38545,mesotrophic
SX13_01,SX13-01,oligotrophic,Sixteen,Y,Allegan,42.56518,-85.61352,oligotrophic
SX13_11,SX13-11,oligotrophic,Sixteen,Y,Allegan,42.56518,-85.61352,oligotrophic
W11_03,W11-03,nutrient-rich,Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic
W11_06,W11-06,nutrient-rich,Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic
W13_11,W13-11,nutrient-rich,Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic
W13_13,W13-13,pseudo-oligotrophic,Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic
W13_15,W13-15,pseudo-oligotrophic,Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic
W13_16,W13-16,pseudo-oligotrophic,Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic
W13_18,W13-18,pseudo-oligotrophic,Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic
