,Name,Coverage,,,
1,BK11_02,45.0901,-0.806092869,, Name Coverage.mean Coverage.sd
2,BK11_02,63.6087,-0.660705054,,1   BK11_02     147.76522   127.37381
3,BK11_02,67.2163,-0.63238212,,2   BS11_05     125.43527   139.37635
4,BK11_02,71.2413,-0.600782217,,3   BS13_02      86.29238    78.51140
5,BK11_02,74.4696,-0.575437133,,4   BS13_10      72.44845    90.27797
6,BK11_02,88.4477,-0.465696363,,5    F13_15     119.23172   111.60527
7,BK11_02,91.2029,-0.444065542,,6    G11_01     165.38012   451.61494
8,BK11_02,100.9713,-0.367374737,,7    G11_04     126.61158   145.91710
9,BK11_02,112.706,-0.275246693,,8    G11_06     137.28295   339.50572
10,BK11_02,121.2248,-0.208366382,,9    G11_09     118.01045   146.05987
11,BK11_02,121.7729,-0.2040633,,10   G13_01      54.97710    74.93906
12,BK11_02,126.1769,-0.169487903,,11   G13_03     149.99026   199.67286
13,BK11_02,126.2169,-0.169173867,,12   G13_05     100.67280   115.72564
14,BK11_02,127.5299,-0.158865626,,13   G13_07     200.82513   197.41241
15,BK11_02,131.5241,-0.127507531,,14   G13_09      84.62268    88.67498
16,BK11_02,131.7703,-0.125574637,,15   G13_10     231.49117   654.03160
17,BK11_02,134.099,-0.107292229,,16   G13_11     161.13202   186.03006
18,BK11_02,136.6808,-0.087022756,,17   G13_12     218.88124   548.04847
19,BK11_02,139.7754,-0.062727338,,18   K13_06     188.96899   168.60542
20,BK11_02,141.3971,-0.049995521,,19   K13_07     156.64248   171.26024
21,BK11_02,142.3159,-0.042782107,,20   K13_10     186.90385   169.20206
22,BK11_02,145.3966,-0.018595817,,21  L111_01     120.34624   157.12428
23,BK11_02,150.1471,0.01869992,,22  L211_07     164.10139   179.21583
24,BK11_02,151.8989,0.032453139,,23 L211_101     144.05019   148.00759
25,BK11_02,153.3863,0.044130579,,24  L211_11     131.26322   128.82630
26,BK11_02,157.2645,0.074577969,,25  L311_01     129.22881   105.42394
27,BK11_02,157.6612,0.077692424,,26  LE13_04     105.39369   236.07820
28,BK11_02,158.6648,0.085571594,,27  LG11_05     100.26810    94.29583
29,BK11_02,159.1612,0.089468785,,28  LG13_03     151.70664   137.79560
30,BK11_02,167.1516,0.152200676,,29  LG13_11      69.26836    97.09857
31,BK11_02,176.5675,0.226124036,,30  LG13_12     170.36278   171.28912
32,BK11_02,176.8008,0.227955653,,31  LG13_13     138.58438   129.30223
33,BK11_02,177.036,0.229802186,,32  LL11_07     130.29308   122.75315
34,BK11_02,177.1198,0.230460092,,33  LL13_03     140.38701   129.42874
35,BK11_02,178.7806,0.243498879,,34  LL13_06     122.22319   147.49492
36,BK11_02,186.382,0.303176768,,35   S11_01     140.99458   122.82362
37,BK11_02,186.5763,0.304702199,,36   S11_05     110.06739   122.88899
38,BK11_02,186.9849,0.30791008,,37  SX13_01     101.35449   230.86825
39,BK11_02,186.9946,0.307986234,,38  SX13_11     146.11001   357.64184
40,BK11_02,193.9664,0.36272119,,39   W11_03      96.74861    47.59618
41,BK11_02,194.8539,0.369688871,,40   W11_06     117.33105    73.63974
42,BK11_02,198.427,0.397740948,,41   W13_11     136.16012   107.29938
43,BK11_02,199.0539,0.402662682,,42   W13_13     154.58711   174.26691
44,BK11_02,203.307,0.436053377,,43   W13_15      68.50884    95.68663
45,BK11_02,205.5871,0.453954231,,44   W13_16      95.38531   132.75642
46,BK11_02,205.6756,0.454649037,,45   W13_18     108.60444   103.35226
47,BK11_02,205.7902,0.455548751,,46   K13_05      73.47524    39.57795
48,BK11_02,206.7098,0.462768445,,
49,BK11_02,211.3058,0.498851216,,
50,BK11_02,213.1669,0.51346254,,
51,BK11_02,214.7945,0.526240677,,
52,BK11_02,215.4452,0.531349262,,
53,BK11_02,219.5181,0.563325224,,
54,BK11_02,220.1365,0.568180225,,
55,BK11_02,226.8756,0.621088276,,
56,BK11_02,227.4921,0.62592836,,
57,BK11_02,229.2345,0.639607781,,
58,BK11_02,237.7757,0.706663952,,
59,BK11_02,248.2885,0.789198973,,
60,BK11_02,248.952,0.79440805,,
61,BK11_02,249.526,0.798914471,,
62,BK11_02,251.0248,0.810681411,,
63,BK11_02,252.5613,0.82274433,,
64,BK11_02,254.4676,0.837710515,,
65,BK11_02,254.541,0.838286772,,
66,BK11_02,255.8422,0.848502373,,
67,BK11_02,258.11,0.866306661,,
68,BK11_02,258.5974,0.870133193,,
69,BK11_02,259.9946,0.881102481,,
70,BK11_02,264.5462,0.916836672,,
71,BK11_02,266.266,0.930338662,,
72,BK11_02,274.4131,0.994300791,,
73,BK11_02,274.6214,0.995936135,,
74,BK11_02,276.5254,1.010884263,,
75,BK11_02,278.2001,1.024032177,,
76,BK11_02,278.9466,1.02989288,,
77,BK11_02,294.4093,1.151289107,,
