Name,Tree_Groups
BK11_02,HN2
BS11_05,HN2
BS13_02,HN1
BS13_10,HN2
F13_15,HN1
G11_04,LN
G11_06,LN
G11_09,LN
G13_01,LN
G13_03,LN
G13_05,LN
G13_07,LN
G13_09,LN
G13_10,LN
G13_11,LN
G13_12,LN
K13_05,HN1
K13_06,HN1
K13_07,HN2
K13_10,HN1
L111_01,HN2
L211_07,HN1
L211_101,HN1
L211_11,HN1
L311_01,HN1
LE13_04,LN
LG11_05,HN1
LG13_03,HN1
LG13_11,HN1
LG13_12,HN1
LG13_13,HN1
LL11_07,LN
LL13_03,LN
LL13_06,LN
S11_01,HN2
S11_05,HN2
SX13_01,LN
SX13_11,LN
W11_03,HN1
W11_06,HN1
W13_11,HN1
W13_13,HN2
W13_15,HN2
W13_16,HN2
W13_18,HN2
G11_01,LN
