Sample_Names,Microcystis_pfam_bray_distance,Bacteria_pfam_bray_distance,Batch
W13_15 & W13_16,0.01505166,0.3462998,Wintergreen 2013
W13_13 & W13_15,0.01726384,0.3162584,Wintergreen 2013
W13_13 & W13_16,0.01269347,0.2516976,Wintergreen 2013
G13_03 & G13_12,0.03038455,0.4119094,Gull 2013
G13_01 & G13_12,0.03582853,0.5189364,Gull 2013
G13_07 & G13_11,0.04423029,0.399177,Gull 2013
G13_01 & G13_10,0.04730961,0.3405829,Gull 2013
G13_10 & G13_12,0.0439604,0.3433403,Gull 2013
G13_03 & G13_10,0.05324237,0.341825,Gull 2013
G13_01 & G13_03,0.04654845,0.2245292,Gull 2013
G13_10 & G13_11,0.07780561,0.310143,Gull 2013
G13_07 & G13_12,0.06820567,0.1657256,Gull 2013
G13_09 & G13_11,0.07582781,0.6495949,Gull 2013
G13_01 & G13_07,0.06775418,0.4988602,Gull 2013
G13_01 & G13_11,0.07065927,0.2888515,Gull 2013
G13_11 & G13_12,0.06997227,0.3962535,Gull 2013
G13_07 & G13_10,0.0743762,0.3260661,Gull 2013
G13_05 & G13_09,0.0703542,0.1535764,Gull 2013
G13_07 & G13_09,0.07594003,0.4537808,Gull 2013
G13_05 & G13_10,0.07636421,0.475234,Gull 2013
G13_03 & G13_07,0.07501798,0.4208551,Gull 2013
G13_03 & G13_11,0.07861178,0.2262731,Gull 2013
G13_05 & G13_07,0.06815804,0.4120711,Gull 2013
G13_01 & G13_09,0.07304009,0.7080414,Gull 2013
G13_09 & G13_10,0.07883951,0.5189111,Gull 2013
G13_09 & G13_12,0.07154445,0.4493414,Gull 2013
G13_03 & G13_05,0.07557589,0.6440561,Gull 2013
G13_05 & G13_11,0.07154472,0.5925583,Gull 2013
G13_01 & G13_05,0.06920746,0.6669127,Gull 2013
G13_03 & G13_09,0.07835581,0.6919084,Gull 2013
G13_05 & G13_12,0.06933376,0.4038989,Gull 2013
W13_13 & W13_18,0.08495326,0.2556517,Wintergreen 2013
W13_15 & W13_18,0.08899663,0.2537074,Wintergreen 2013
W13_16 & W13_18,0.08446281,0.2729082,Wintergreen 2013
W13_11 & W13_13,0.10961358,0.5148734,Wintergreen 2013
W13_11 & W13_15,0.11327629,0.646905,Wintergreen 2013
W13_11 & W13_16,0.11198227,0.4407368,Wintergreen 2013
W13_11 & W13_18,0.1233207,0.5089623,Wintergreen 2013
