Strain,Tree_Groups
BK11-02,pseudo-oligotrophic
BS11-05,pseudo-oligotrophic
BS13-02,nutrient-rich
BS13-10,pseudo-oligotrophic
F11-05,nutrient-rich
F13-03,nutrient-rich
F13-15,nutrient-rich
G11-01,oligotrophic
G11-04,oligotrophic
G11-06,oligotrophic
G11-09,oligotrophic
G13-01,oligotrophic
G13-03,oligotrophic
G13-05,oligotrophic
G13-07,oligotrophic
G13-09,oligotrophic
G13-10,oligotrophic
G13-11,oligotrophic
G13-12,oligotrophic
K13-01,nutrient-rich
K13-05,nutrient-rich
K13-06,nutrient-rich
K13-07,pseudo-oligotrophic
K13-10,nutrient-rich
L111-01,pseudo-oligotrophic
L211-07,nutrient-rich
L211-101,nutrient-rich
L211-11,nutrient-rich
L311-01,nutrient-rich
LE13-04,oligotrophic
LG11-05,nutrient-rich
LG13-02,nutrient-rich
LG13-03,nutrient-rich
LG13-11,nutrient-rich
LG13-12,nutrient-rich
LG13-13,nutrient-rich
LL11-07,oligotrophic
LL13-03,oligotrophic
LL13-06,oligotrophic
S11-01,pseudo-oligotrophic
S11-05,pseudo-oligotrophic
SX13-01,oligotrophic
SX13-11,oligotrophic
W11-03,nutrient-rich
W11-06,nutrient-rich
W13-11,nutrient-rich
W13-13,pseudo-oligotrophic
W13-15,pseudo-oligotrophic
W13-16,pseudo-oligotrophic
W13-18,pseudo-oligotrophic
Synechococcus,none
PCC-9806,none
PCC-9807,none
PCC-9443,none
PCC-7806,none
DIANCHI905,none
TAIHU98,none
PCC-7941,none
LE3,none
SPC777,none
PCC-9808,none
PCC-9432,none
PCC-7005,none
PCC-9701,none
T1-4,none
NIES-44,none
PCC-9717,none
NIES-843,none
PCC-9809,none
LSC13-02,none
LE013-01,none
