Name,Bin_Name,Percent_Below_Cutoff,Tree_Groups,Completeness,Year,Percent_Indels_plus_SNPs
BK11_02,2kb+,0.268456376,pseudo-oligotrophic,99.67,2011,0.100344434
BS11_05,2kb+,0,pseudo-oligotrophic,98.03,2011,0.099537699
BS13_02,2kb+,1.438848921,nutrient.rich,98.57,2013,0.055049323
BS13_10,2kb+,0,pseudo-oligotrophic,99.45,2013,0.086501767
F13_15,2kb+,0,nutrient.rich,99.67,2013,0.097392385
G11_01,2kb+,0.400801603,oligotrophic,96.38,2011,0.136497675
G11_04,2kb+,0,oligotrophic,96.16,2011,0.089311877
G11_06,2kb+,15.91871296,oligotrophic,98.36,2011,0.472045944
G11_09,2kb+,18.26484018,oligotrophic,97.48,2011,0.242601686
G13_01,2kb+,0,oligotrophic,95.94,2013,0.157193976
G13_03,2kb+,11.28107075,oligotrophic,96.37,2013,0.443582277
G13_05,2kb+,13.73025516,oligotrophic,98.79,2013,0.277219202
G13_07,2kb+,1.085481682,oligotrophic,97.04,2013,0.092250848
G13_09,2kb+,2.339181287,oligotrophic,97.92,2013,0.160991347
G13_10,2kb+,18.74334398,oligotrophic,97.48,2013,0.096723761
G13_11,2kb+,0,oligotrophic,97.48,2013,0.106078403
G13_12,2kb+,1.506373117,oligotrophic,96.05,2013,0.119445482
K13_05,2kb+,20.10398614,nutrient.rich,98.46,2013,0.125215838
K13_06,2kb+,0.258397933,nutrient.rich,99.89,2013,0.061400953
K13_07,2kb+,2.514792899,pseudo-oligotrophic,99.23,2013,0.096214286
K13_10,2kb+,1.851851852,nutrient.rich,98.03,2013,0.094489386
L111_01,2kb+,0.154559505,pseudo-oligotrophic,99.89,2011,0.083717172
L211_07,2kb+,4.966887417,nutrient.rich,99.23,2011,0.059682232
L211_101,2kb+,0.468384075,nutrient.rich,99.45,2011,0.072155102
L211_11,2kb+,0.238663484,nutrient.rich,99.45,2011,0.078924987
L311_01,2kb+,0,nutrient.rich,99.89,2011,0.040559107
LE13_04,2kb+,0,oligotrophic,99.23,2013,0.11449145
LG11_05,2kb+,0,nutrient.rich,98.36,2011,0.056478346
LG13_03,2kb+,0.265251989,nutrient.rich,99.38,2013,0.06226706
LG13_11,2kb+,23.3937397,nutrient.rich,99.45,2013,0.092337237
LG13_12,2kb+,1.146788991,nutrient.rich,99.23,2013,0.077330889
LG13_13,2kb+,0,nutrient.rich,99.45,2013,0.059933417
LL11_07,2kb+,0,oligotrophic,96.16,2011,0.121430641
LL13_03,2kb+,11.79435484,oligotrophic,96.16,2013,0.249453872
LL13_06,2kb+,0.470219436,oligotrophic,96.64,2013,0.106819812
S11_01,2kb+,0,pseudo-oligotrophic,98.79,2011,0.078589887
S11_05,2kb+,0.151975684,pseudo-oligotrophic,98.57,2011,0.08051813
SX13_01,2kb+,23.69976359,oligotrophic,92.43,2013,0.950004144
SX13_11,2kb+,0.697674419,oligotrophic,95.83,2013,0.112312094
W11_03,2kb+,0,nutrient.rich,99.45,2011,0.059185266
W11_06,2kb+,1.503759398,nutrient.rich,99.67,2011,0.057738511
W13_11,2kb+,0.680272109,nutrient.rich,99.89,2013,0.052204042
W13_13,2kb+,1.098901099,pseudo-oligotrophic,98.25,2013,0.088055402
W13_15,2kb+,0,pseudo-oligotrophic,98.46,2013,0.130477444
W13_16,2kb+,0.149925037,pseudo-oligotrophic,98.68,2013,0.117794816
W13_18,2kb+,4.626865672,pseudo-oligotrophic,99.01,2013,0.169998346
BK11_02,0kb+,NA,pseudo-oligotrophic,99.45,2011,NA
BS11_05,0kb+,NA,pseudo-oligotrophic,99.23,2011,NA
BS13_02,0kb+,NA,nutrient.rich,99.67,2013,NA
BS13_10,0kb+,NA,pseudo-oligotrophic,99.89,2013,NA
F13_15,0kb+,NA,nutrient.rich,99.89,2013,NA
G11_01,0kb+,NA,oligotrophic,98.57,2011,NA
G11_04,0kb+,NA,oligotrophic,98.79,2011,NA
G11_06,0kb+,NA,oligotrophic,99.23,2011,NA
