Name,Coverage_LowBump?,Mean_Contig_Length,N50_Contigs,Coverage_LowBump?,#_Predicted_Genes,#_Scaffolds,Mean_Scaffold_Length,Completeness
LG13_11,1,12888.09439,20856,1,5094,392,12888.09439,99.45
K13_05,1,11473.45119,17363,1,5142,461,11473.46421,98.46
G11_09,1,8842.230216,12007,1,4975,556,8842.246403,97.48
G13_05,1,8737.697391,11380,1,5111,575,8737.709565,98.79
G13_10,1,8190.017945,11006,1,5050,613,8190.021207,97.48
LL13_03,1,7411.989521,9448,1,5062,668,7412,96.16
G13_03,1,7296.648012,9342,1,5081,679,7296.665685,96.37
G11_06,1,7173.962099,9249,1,5099,686,7173.969388,98.36
SX13_01,1,6077.566015,7597,1,5205,818,6077.569682,92.43
L211_07,0,20578.17227,32849,0,4686,238,20578.17227,99.23
W11_06,0,20511.99078,33119,0,4385,217,20511.99078,99.67
BS13_02,0,20148.66376,34349,0,4460,229,20148.66376,98.57
L311_01,0,19561.27686,30666,0,4635,242,19561.28926,99.89
W13_11,0,19239.55378,29179,0,5003,251,19239.55378,99.89
W11_03,0,19100.56223,30608,0,4376,233,19100.56652,99.45
LG11_05,0,17278.51724,28854,0,4971,290,17278.51724,98.36
LG13_03,0,16008.52077,26446,0,4980,313,16008.54633,99.38
LG13_13,0,15821.76825,24376,0,4956,315,15821.79048,99.45
K13_06,0,14867.41916,23186,0,4874,334,14867.42814,99.89
L211_11,0,14712.98834,26048,0,4983,343,14713.01458,99.45
L211_101,0,14262.27119,22697,0,4990,354,14262.27684,99.45
LG13_12,0,14014.5755,22802,0,4954,351,14014.58974,99.23
F13_15,0,13279.94103,20780,0,5264,407,13279.95086,99.67
K13_10,0,11934.28571,17894,0,5130,441,11934.29705,98.03
BS13_10,0,10376.17073,15491,0,5105,492,10376.21545,99.45
W13_18,0,9255.060491,13548,0,4856,529,9255.066163,99.01
W13_13,0,9140.47191,12700,0,4904,534,9140.483146,98.25
BS11_05,0,9101.990637,12464,0,4848,534,9102.003745,98.03
L111_01,0,9069.398165,12461,0,4939,545,9069.418349,99.89
S11_01,0,8977.409594,12444,0,4775,542,8977.428044,98.79
LL13_06,0,8954.512287,12974,0,4729,529,8954.534972,96.64
S11_05,0,8954.41989,12644,0,4765,543,8954.436464,98.57
LE13_04,0,8808.862989,11697,0,4932,562,8808.875445,99.23
W13_16,0,8799.545455,11937,0,4958,561,8799.554367,98.68
K13_07,0,8779.773619,12633,0,4834,561,8779.793226,99.23
W13_15,0,8734.476522,12274,0,5060,575,8734.476522,98.46
G11_04,0,8682.378092,11673,0,4878,566,8682.402827,96.16
G13_09,0,8562.62167,11149,0,4839,563,8562.62167,97.92
G13_07,0,8385.873096,11027,0,5005,591,8385.874788,97.04
G13_11,0,8269.67285,10848,0,4902,593,8269.679595,97.48
BK11_02,0,7865.416938,10762,0,4815,614,7865.416938,99.67
G11_01,0,7722.275556,10691,0,5216,675,7722.285926,96.38
LL11_07,0,7534.97882,9792,0,4956,661,7534.97882,96.16
G13_01,0,7259.062865,9541,0,4943,684,7259.068713,95.94
SX13_11,0,7242.513274,9595,0,4881,678,7242.513274,95.83
G13_12,0,7227.595029,9471,0,4894,684,7227.599415,96.05
