Name,Bin_Name,Percent_Below_Cutoff,Nif in Phycosphere,Tree_Groups,Nif,Tree_Groups,Completeness,Tree_Groups,Lake,Date,Year,Coding_Density,Genome_Size,Contamination,Strain_heterogeneity,Contamination_from_heterogeneity,Other_Contamination,Mean_Scaffold_Length,#_Scaffolds,Predicted_#_Genes,GC,Coverage_Mean,Contamination,Strain_heterogeneity,indels,SNPs,Percent_SNPs,Indels_plus_SNPs,Percent_Indels_plus_SNPs,Paralog_%,Sigma_factors,Sigma_factors_percentage
BK11_02,2kb+,0.268456376,"nifA,nifB,nifE,nifH,nifN,nifT,nifV,nifX,nifZ,nifQ",pseudo-oligotrophic,Yes,pseudo-oligotrophic,99.67,pseudo-oligotrophic,Baker, 2011-08-08,2011,81.04558652,4.829366,0.37,33.33,0.123321,0.246679,7865.416938,614,4815,42.65006536,113.442,0.37,33.33,103,4743,0.098211649,4846,0.100344434,32.99492386,14,0.290758048
BS11_05,2kb+,0,nifA,pseudo-oligotrophic,Yes,pseudo-oligotrophic,98.03,pseudo-oligotrophic,Baseline, 2011-08-08,2011,81.4134847,4.86047,0.07,0,0,0.07,9102.003745,534,4848,42.48666751,93.2213,0.07,0,84,4754,0.097809471,4838,0.099537699,34.41533047,15,0.309405941
BS13_02,2kb+,1.438848921,none,nutrient.rich,No,nutrient.rich,98.57,nutrient.rich,Baseline, 2013-08-09,2013,81.15917403,4.614044,0.29,0,0,0.29,20148.66376,229,4460,42.36110404,61.9507,0.29,0,53,2487,0.053900656,2540,0.055049323,35.07088332,11,0.246636771
BS13_10,2kb+,0,nifA,pseudo-oligotrophic,Yes,pseudo-oligotrophic,99.45,pseudo-oligotrophic,Baseline, 2013-08-09,2013,81.37984814,5.105098,0.15,0,0,0.15,10376.21545,492,5105,42.43382121,52.6373,0.15,0,93,4323,0.084680059,4416,0.086501767,34.67620482,14,0.27424094
F13_15,2kb+,0,none,nutrient.rich,No,nutrient.rich,99.67,nutrient.rich,Ford, 2013-08-15,2013,81.52316214,5.40494,0.69,16.67,0.115023,0.574977,13279.95086,407,5264,42.68882683,87.4162,0.69,16.67,123,5141,0.09511669,5264,0.097392385,36.33694256,15,0.284954407
G11_01,2kb+,0.400801603,nifA,oligotrophic,Yes,oligotrophic,96.38,oligotrophic,Gull, 2011-07-05,2011,81.32953532,5.212543,1.21,50,0.605,0.605,7722.285926,675,5216,42.398538,131.225,1.21,50,116,6999,0.134272274,7115,0.136497675,34.3093228,15,0.287576687
G11_04,2kb+,0,none,oligotrophic,No,oligotrophic,96.16,oligotrophic,Gull, 2011-07-05,2011,81.39793742,4.91424,0.51,33.33,0.169983,0.340017,8682.402827,566,4878,42.50587694,98.9467,0.51,33.33,76,4313,0.087765351,4389,0.089311877,34.6791496,14,0.28700287
G11_06,2kb+,15.91871296,none,oligotrophic,No,oligotrophic,98.36,oligotrophic,Gull, 2011-07-05,2011,81.34708351,4.921343,0.15,0,0,0.15,7173.969388,686,5099,42.46338953,118.538,0.15,0,362,22869,0.464690228,23231,0.472045944,35.55030385,15,0.294175328
G11_09,2kb+,18.26484018,none,oligotrophic,No,oligotrophic,97.48,oligotrophic,Gull, 2011-07-05,2011,81.2680052,4.916289,0.15,0,0,0.15,8842.246403,556,4975,42.49872377,109.012,0.15,0,229,11698,0.237943701,11927,0.242601686,36.04051893,14,0.281407035
G13_01,2kb+,0,"nifA,nifB,nifE,nifH,nifN,nifT,nifV,nifX,nifZ,nifQ",oligotrophic,Yes,oligotrophic,95.94,oligotrophic,Gull, 2013-08-08,2013,81.6361184,4.965203,0.29,50,0.145,0.145,7259.068713,684,4943,42.45847021,40.7078,0.29,50,70,7735,0.155784164,7805,0.157193976,34.53075042,15,0.303459438
