Name,Contigs,Number_Below_Cutoff,Percent_Below_Cutoff
BK11_02,745,2,0.268456376
BS11_05,642,0,0
BS13_02,278,4,1.438848921
BS13_10,573,0,0
F13_15,485,0,0
G11_01,998,4,0.400801603
G11_04,668,0,0
G11_06,1181,188,15.91871296
G11_09,876,160,18.26484018
G13_01,842,0,0
G13_03,1046,118,11.28107075
G13_05,823,113,13.73025516
G13_07,737,8,1.085481682
G13_09,684,16,2.339181287
G13_10,939,176,18.74334398
G13_11,721,0,0
G13_12,863,13,1.506373117
K13_05,577,116,20.10398614
K13_06,387,1,0.258397933
K13_07,676,17,2.514792899
K13_10,540,10,1.851851852
L111_01,647,1,0.154559505
L211_07,302,15,4.966887417
L211_101,427,2,0.468384075
L211_11,419,1,0.238663484
L311_01,290,0,0
LE13_04,668,0,0
LG11_05,345,0,0
LG13_03,377,1,0.265251989
LG13_11,607,142,23.3937397
LG13_12,436,5,1.146788991
LG13_13,383,0,0
LL11_07,839,0,0
LL13_03,992,117,11.79435484
LL13_06,638,3,0.470219436
S11_01,659,0,0
S11_05,658,1,0.151975684
SX13_01,1692,401,23.69976359
SX13_11,860,6,0.697674419
W11_03,272,0,0
W11_06,266,4,1.503759398
W13_11,294,2,0.680272109
W13_13,637,7,1.098901099
W13_15,680,0,0
W13_16,667,1,0.149925037
W13_18,670,31,4.626865672
